"","DATETIME","YR","MONTH","DAY","HR","TEMP","RH","WS","PREC","LAT","LONG","TZ","ID","MINUTE","JULIAN","PERCENT_CURED","DATE","TIMESTAMP","TIMEZONE","SOLRAD","SUNRISE","SUNSET","SUNLIGHT_HOURS"
"1",2007-05-10 08:00:00,2007,5,10,8,14.78,94.9,2.7324,0,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 08:00:00,-5,0.321824300260066,4.74495896771461,19.4500494245756,14.705090456861
"2",2007-05-10 09:00:00,2007,5,10,9,17.44,79.11,3.6663,0,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 09:00:00,-5,0.406475462101548,4.74495896771461,19.4500494245756,14.705090456861
"3",2007-05-10 10:00:00,2007,5,10,10,21.21,62.95,4.359,0,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 10:00:00,-5,0.472302260840804,4.74495896771461,19.4500494245756,14.705090456861
"4",2007-05-10 11:00:00,2007,5,10,11,23.6,46.17,8.21,0,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 11:00:00,-5,0.514818708927682,4.74495896771461,19.4500494245756,14.705090456861
"5",2007-05-10 12:00:00,2007,5,10,12,24.55,41.53,9.42,0,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 12:00:00,-5,0.531127380686814,4.74495896771461,19.4500494245756,14.705090456861
"6",2007-05-10 13:00:00,2007,5,10,13,22.37,47.13,6.737,0,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 13:00:00,-5,0.520116867089169,4.74495896771461,19.4500494245756,14.705090456861
"7",2007-05-10 14:00:00,2007,5,10,14,18.11,88.2,2.116,0.5,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 14:00:00,-5,0.482537516440693,4.74495896771461,19.4500494245756,14.705090456861
"8",2007-05-10 15:00:00,2007,5,10,15,21.55,65.61,2.478,0,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 15:00:00,-5,0.420950299385267,4.74495896771461,19.4500494245756,14.705090456861
"9",2007-05-10 16:00:00,2007,5,10,16,23.02,51.56,4.689,0,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 16:00:00,-5,0.339552282987528,4.74495896771461,19.4500494245756,14.705090456861
"10",2007-05-10 17:00:00,2007,5,10,17,23.94,47.2,2.393,0,46.013925,-77.4180437,"America/Toronto","STN",0,130,84.4,2007-05-10,2007-05-10 17:00:00,-5,0.243890607548402,4.74495896771461,19.4500494245756,14.705090456861
